Is_Interruption,Start Time,End Time,Total Time,Who,Value,Total Time Sum,Color,Minute
1,401,402,1,Biden,1,0,#0048F5,6.68
1,412,413,1,Biden,1,2,#0048F5,6.87
1,425,426,1,Biden,1,3,#0048F5,7.08
1,507,515,8,Biden,1,11,#0048F5,8.45
1,723,724,1,Biden,1,12,#0048F5,12.05
1,889,890,1,Biden,1,13,#0048F5,14.82
1,1642,1644,2,Biden,1,15,#0048F5,27.37
1,1656,1658,2,Biden,1,17,#0048F5,27.6
1,1730,1732,2,Biden,1,19,#0048F5,28.83
1,2275,2278,3,Biden,1,22,#0048F5,37.92
1,2336,2337,1,Biden,1,23,#0048F5,38.93
1,2585,2587,2,Biden,1,25,#0048F5,43.08
1,2637,2646,9,Biden,1,34,#0048F5,43.95
1,2901,2920,19,Biden,1,53,#0048F5,48.35
1,3139,3140,1,Biden,1,54,#0048F5,52.32
1,3612,3625,13,Biden,1,67,#0048F5,60.2
1,3944,3945,1,Biden,1,68,#0048F5,65.73
1,4903,4914,11,Biden,1,79,#0048F5,81.72
1,5346,5349,3,Biden,1,82,#0048F5,89.1
1,459,470,11,Trump,1,0,#FF000E,7.65
1,473,475,2,Trump,1,13,#FF000E,7.88
1,522,526,4,Trump,1,17,#FF000E,8.7
1,545,562,17,Trump,1,34,#FF000E,9.08
1,587,590,3,Trump,1,37,#FF000E,9.78
1,602,630,28,Trump,1,65,#FF000E,10.03
1,758,786,28,Trump,1,93,#FF000E,12.63
1,796,834,38,Trump,1,131,#FF000E,13.27
1,862,879,17,Trump,1,148,#FF000E,14.37
1,1015,1028,13,Trump,1,161,#FF000E,16.92
1,1318,1330,12,Trump,1,173,#FF000E,21.97
1,1361,1364,3,Trump,1,176,#FF000E,22.68
1,1500,1503,3,Trump,1,179,#FF000E,25
1,1586,1589,3,Trump,1,182,#FF000E,26.43
1,1699,1707,8,Trump,1,190,#FF000E,28.32
1,1845,1863,18,Trump,1,208,#FF000E,30.75
1,1881,1884,3,Trump,1,211,#FF000E,31.35
1,1945,1949,4,Trump,1,215,#FF000E,32.42
1,2449,2461,12,Trump,1,227,#FF000E,40.82
1,2564,2577,13,Trump,1,240,#FF000E,42.73
1,2659,2665,6,Trump,1,246,#FF000E,44.32
1,2680,2701,21,Trump,1,267,#FF000E,44.67
1,2710,2721,11,Trump,1,278,#FF000E,45.17
1,2741,2806,65,Trump,1,343,#FF000E,45.68
1,2814,2820,6,Trump,1,349,#FF000E,46.9
1,2829,2834,5,Trump,1,354,#FF000E,47.15
1,2843,2850,7,Trump,1,361,#FF000E,47.38
1,2859,2863,4,Trump,1,365,#FF000E,47.65
1,2873,2889,16,Trump,1,381,#FF000E,47.88
1,2902,2920,18,Trump,1,399,#FF000E,48.37
1,3044,3045,1,Trump,1,400,#FF000E,50.73
1,3531,3535,4,Trump,1,404,#FF000E,58.85
1,3548,3555,7,Trump,1,411,#FF000E,59.13
1,3731,3760,29,Trump,1,440,#FF000E,62.18
1,3837,3849,12,Trump,1,452,#FF000E,63.95
1,3857,3860,3,Trump,1,455,#FF000E,64.28
1,3891,3911,20,Trump,1,475,#FF000E,64.85
1,4193,4195,2,Trump,1,477,#FF000E,69.88
1,4276,4303,27,Trump,1,504,#FF000E,71.27
1,4313,4340,27,Trump,1,531,#FF000E,71.88
1,4755,4789,34,Trump,1,565,#FF000E,79.25
1,4815,4816,1,Trump,1,566,#FF000E,80.25
1,4839,4845,6,Trump,1,572,#FF000E,80.65
1,4965,4971,6,Trump,1,578,#FF000E,82.75
1,5445,5462,17,Trump,1,595,#FF000E,90.75
1,5623,5630,7,Trump,1,602,#FF000E,93.72
1,5658,5666,8,Trump,1,610,#FF000E,94.3